uid,project_name,risk_score,archetype_id,archetype_label
604791,Numaligarh Refinery Expansion Project,39.17002348592293,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618168,Widening to four lane with paved shoulder from Design Km.49.200 to Km.89.285 of NH-731B on EPC mode in the state of Uttar Pradesh,38.99803165770482,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618209,Construction & up gradation of existing road to 2-Lane with paved shoulder from existing chainage km 468000 to km 489350 Design Chainage km 465150 to km 471500 of NH-07 Old NH-58 including Joshimath bypass on EPC mode in the state of Uttarakhand Length 6.35 km,36.28247219645011,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618364,"Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-I Design Chainage 0000 Km to 34795 Km, in the State of Nagaland on EPC mode under NH O-NE",35.2948058627581,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
605155,Kwar HE Project,34.8467894718142,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618190,Widening to two lane with paved shoulders of 'Bodhan Basar Bhainsa ' section from Km 38/900 to 95/300 of NH-161BB in the state of Telangana under Annual Plan 2021- 22 on EPC Mode under NH O.,34.649749571235525,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618140,Widening to two/four lane with paved shoulders from Km.34.250 to Km.71.830 of NH- 365A on Kodad-Khammam-Kurvi road.,34.31555834838475,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
701745,New Suburba Station Development Project,34.0913084092609,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618166,Construction of 4-lane green field highway from Km. 35.000 to Km. 49.155 of NH- 731A with paved shoulders on Hybrid Annuity Mode in the state of Uttar Pradesh,33.76563633417584,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
616879,Demo Bio-ATF Project,32.99132315457034,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
400299,Pottangi Bauxite Mines Project,31.179183904292746,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618403,Construction of Intermediate Lane Road with hard shoulder from design Km 0.000 to Km 17.387 Total length 17.387 km of Hunli to Ithun Bridge section on NH-913 Frontier Highway in State of Arunachal Pradesh on EPC mode under NHO-NE,29.28350637147468,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
705392,Dimapur-Kohima 88 km,27.951625773438103,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
611957,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy & Sophisticated lab complex, Academic POD and Infrastructure for center of excellence]",26.292538738095967,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
618122,Widening to 2 lane with paved shoulded of Jareikela Jharkhand/Odisha Border - Dhabaleswar section from 0/0 to 36/0 of NH-320D in the State of Odisha under Annual Plan 2021-22.,25.81836549873281,0,Cost already revised upward (%) + Time elapsed vs. planned duration + Original planned duration (months)
