uid,project_name,risk_score,driver_1_feature,driver_1_shap,driver_2_feature,driver_2_shap,driver_3_feature,driver_3_shap,driver_4_feature,driver_4_shap,driver_5_feature,driver_5_shap
618702,4L of Addahole Near Gundya to Bantwal Cross section Pkg-02 from Design Km 270.270 to Design km 318.55 including flyover at Kalladka Town including approaches from Km. 311.57 to Km. 313.67 of NH-75 Old NH-48,95.1472365012533,agency,12.621,cost_revision_to_date_pct,11.864,elapsed_ratio,8.591,doc_slip_to_date_m,-5.701,months_past_orig_doc,5.555
618888,Rehabilitation and Up-gradation of existing road to 2L PS from End of Hamirpur Bypass near Chilbahal to Bhangbar section from Km. 138.295 to Km.175.270 of NH- 88 Pkg-IV,95.10677740263324,agency,15.116,state,13.129,financial_progress_pct,7.847,elapsed_ratio,7.117,cost_revision_to_date_pct,-3.993
618807,"4L Greenfield Road connecting North and South industrial cluster of Khandaleru Creek near Krishnapatnam port at Thamminapatnam to Mollur from Km 0.0 to Km 16.046, Part I & 6L extension of dedicated port road of NH-67 Km 18.0 to Km 19.3, Part II",95.05982441860348,agency,16.082,elapsed_ratio,7.443,state,3.703,cost_revision_to_date_pct,3.657,financial_progress_pct,3.297
618512,Tunnel at Khambataki Ghat Section and its approaches from existing Km. 771.730 to existing Km. 782.000,95.03121425800822,agency,17.604,elapsed_ratio,7.985,months_past_orig_doc,6.177,doc_slip_to_date_m,-5.57,kw_tunnel,5.314
618647,6L Access Controlled Ludhiana-Bathinda Greenfield highway from Jn. with Amritsar- Bathanda Greenfield Road NH-754A near Rampura Phul to Jn. with Moga-Barnala Road NH-703 near village Tallewal from Km 0.0 to Km 30.3 of NH-754AD Pkg-1,95.00160953362528,agency,17.592,elapsed_ratio,8.569,state,5.035,snapshot_index,2.789,financial_progress_pct,2.497
618545,"4L of Km.165.092 to Km.171.855 North Bound and from Km.166.895 to Km.173.638 South Bound, excl. certain reaches of North Bound and South Bound of Ramban to Banihal Pkg-III of Old NH-1A New NH-44",94.89320956698552,cost_revision_to_date_pct,18.477,agency,9.922,elapsed_ratio,9.688,doc_slip_to_date_m,-5.009,months_past_orig_doc,3.857
618462,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-31 Ch.824920 to Ch.844382 [Junction near Pratap nagar Village - Junction near Dodka Village],94.78877085976416,agency,18.892,elapsed_ratio,8.157,state,7.514,doc_slip_to_date_m,-4.87,months_past_orig_doc,4.417
619289,4L of Munger Mirzachauki section from Munger to Kharia village junction from Km 69520 to Km 95580 Pkg-1,94.73986500440496,agency,18.161,state,11.883,elapsed_ratio,7.707,months_past_orig_doc,4.048,doc_slip_to_date_m,-3.466
618716,6L Access Controlled Greenfield Highway from Vankarakunta Ch. 45700 to Odulapalle Ch. 72000 of [NH-544G]Package-3,94.65537954209378,agency,16.169,elapsed_ratio,6.726,cost_revision_to_date_pct,5.964,orig_duration_m,3.236,progress_gap_pct,-2.804
618890,2L PS of Hamirpur Bypass from Km 121.175 to Km.138.295 of NH-103&3,94.5219126489484,state,16.224,agency,16.124,elapsed_ratio,7.915,financial_progress_pct,6.477,cost_revision_to_date_pct,-3.711
619306,4L of Munger Mirzachauki section from Km 95580 to Km 125000 Pkg-2,94.41831734994402,agency,17.712,state,12.397,elapsed_ratio,7.587,months_past_orig_doc,5.43,cost_revision_to_date_pct,-4.127
618588,4L Mitigation Measure structures on CH/MH Border to Wainganga Bridge Section of NH-6 New NH-53,94.28277928410256,cost_revision_to_date_pct,17.752,agency,11.831,elapsed_ratio,7.737,months_past_orig_doc,6.267,physical_progress,-5.643
618711,6L with access control provision Saharanpur bypass to Ganeshpur section from 13.89 Km to 41.820 Km of Delhi- Dehradun Economic Corridor package-2,94.2634265199921,cost_revision_to_date_pct,20.611,agency,13.668,elapsed_ratio,7.041,progress_gap_pct,-3.571,physical_progress,-3.357
619101,4L Shahpur to Muktainagar from Km. 186.000 to km 216.278 of NH 753L Pkg II of Boregaon Buzurg to Muktainagar,94.235715685098,agency,15.402,cost_revision_to_date_pct,11.163,elapsed_ratio,9.414,state,4.431,doc_slip_to_date_m,4.011
